latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
9.679,-0.7398,327,1.3,1.1,2023-01-01,1032,Terra,MODIS,74,61.03,309,17.7,D,0
9.6645,-0.6482,328.8,1.3,1.1,2023-01-01,1032,Terra,MODIS,51,61.03,309.3,20.2,D,0
9.6776,-0.7348,326.1,1.3,1.1,2023-01-01,1032,Terra,MODIS,73,61.03,308.2,15.6,D,0
9.6553,-0.656,326.2,1.3,1.1,2023-01-01,1032,Terra,MODIS,32,61.03,308.4,15.6,D,0
9.8057,-1.7742,321.8,1.1,1.1,2023-01-01,1032,Terra,MODIS,56,61.03,304.9,8.4,D,0
9.5688,-0.2292,323.1,1.4,1.2,2023-01-01,1032,Terra,MODIS,69,61.03,308.5,15.2,D,0
9.5585,-0.2309,374.1,1.4,1.2,2023-01-01,1032,Terra,MODIS,100,61.03,311.8,190.8,D,0
10.8319,-0.3733,323.1,1.3,1.1,2023-01-01,1032,Terra,MODIS,69,61.03,306.2,15.1,D,0
9.5566,-0.2185,342.6,1.4,1.2,2023-01-01,1032,Terra,MODIS,90,61.03,308.5,57.2,D,0
9.7387,-1.5244,319.6,1.2,1.1,2023-01-01,1032,Terra,MODIS,51,61.03,305.9,10.4,D,0
9.7131,-1.8352,323.7,1.1,1.1,2023-01-01,1032,Terra,MODIS,68,61.03,308.5,9.7,D,0
9.2762,0.3937,328.8,1.6,1.2,2023-01-01,1033,Terra,MODIS,78,61.03,308.4,30.6,D,0
9.274,0.4074,327.8,1.6,1.2,2023-01-01,1033,Terra,MODIS,77,61.03,308,28.5,D,0
9.2546,0.251,337.4,1.5,1.2,2023-01-01,1033,Terra,MODIS,86,61.03,309.2,51,D,0
9.2525,0.2645,331.1,1.5,1.2,2023-01-01,1033,Terra,MODIS,81,61.03,309.2,35,D,0
9.6342,-2.2337,320.9,1.1,1,2023-01-01,1033,Terra,MODIS,61,61.03,308.4,7.2,D,0
9.2513,0.2446,320.9,1.5,1.2,2023-01-01,1033,Terra,MODIS,65,61.03,309.1,13.2,D,0
9.2492,0.2582,332.2,1.5,1.2,2023-01-01,1033,Terra,MODIS,82,61.03,308.7,37.4,D,0
9.6095,-2.1844,322.7,1.1,1,2023-01-01,1033,Terra,MODIS,67,61.03,308.8,9.1,D,0
9.4428,-1.1435,326.2,1.2,1.1,2023-01-01,1033,Terra,MODIS,72,61.03,310.2,15.9,D,0
9.4411,-1.1325,324.5,1.2,1.1,2023-01-01,1033,Terra,MODIS,63,61.03,308.8,13.1,D,0
9.3021,-0.2257,322.7,1.4,1.2,2023-01-01,1033,Terra,MODIS,67,61.03,308.3,14.9,D,0
9.4347,-1.1558,326.2,1.2,1.1,2023-01-01,1033,Terra,MODIS,58,61.03,308.1,14.9,D,0
9.433,-1.1449,331.7,1.2,1.1,2023-01-01,1033,Terra,MODIS,80,61.03,308.9,24.7,D,0
9.2542,0.0145,331.1,1.5,1.2,2023-01-01,1033,Terra,MODIS,80,61.03,306.8,35,D,0
9.6079,-2.3612,319.2,1.1,1,2023-01-01,1033,Terra,MODIS,57,61.03,305.8,6.5,D,0
9.6537,-2.7283,333.9,1,1,2023-01-01,1033,Terra,MODIS,83,61.03,307.5,25,D,0
9.6523,-2.7191,324.3,1,1,2023-01-01,1033,Terra,MODIS,72,61.03,308.2,11.9,D,0
9.4755,-1.5511,334.1,1.2,1.1,2023-01-01,1033,Terra,MODIS,82,61.03,308.5,30.5,D,0
9.4739,-1.5407,320.9,1.2,1.1,2023-01-01,1033,Terra,MODIS,58,61.03,307.6,11.1,D,0
9.4755,-1.6145,319,1.2,1.1,2023-01-01,1033,Terra,MODIS,51,61.03,305.7,7.8,D,0
9.466,-1.5526,335.1,1.2,1.1,2023-01-01,1033,Terra,MODIS,83,61.03,306.6,31.3,D,0
9.4197,-1.4421,321.3,1.2,1.1,2023-01-01,1033,Terra,MODIS,49,61.03,307.5,10.6,D,0
9.3375,-1.1881,336,1.2,1.1,2023-01-01,1033,Terra,MODIS,84,61.03,311.3,31,D,0
9.3358,-1.1773,326,1.2,1.1,2023-01-01,1033,Terra,MODIS,69,61.03,311.3,13.7,D,0
9.3278,-1.1896,327,1.2,1.1,2023-01-01,1033,Terra,MODIS,66,61.03,310.1,15.8,D,0
9.3769,-1.6357,319.1,1.2,1.1,2023-01-01,1033,Terra,MODIS,46,61.03,306.8,7.8,D,0
9.0326,0.4142,321.3,1.6,1.2,2023-01-01,1033,Terra,MODIS,66,61.03,309.4,14,D,0
9.0303,0.4281,327.5,1.6,1.2,2023-01-01,1033,Terra,MODIS,77,61.03,307.4,27,D,0
